"NR";"ONR";"NAME";"KZUF";"KENTN";"KNRP";"ANFSTAND";"USCHL";"POS1";"POS2";"POS3";"POS4";"POS5";"POS6";"POS1NAME";"POS2NAME";"POS3NAME";"POS4NAME";"POS5NAME";"POS6NAME";"POS1CHECK";"POS2CHECK";"POS3CHECK";"POS4CHECK";"POS5CHECK";"POS6CHECK";"ENDSTAND";"ZUF";"ENTN";"DTVON";"DTBIS";"ZUF_SOLL";"ENDSTAND_SOLL";"KONTO_VZ";"ZUFNACHZ";"POS7";"POS7NAME";"POS7CHECK";"POS8";"POS8NAME";"POS8CHECK";"POS9";"POS9NAME";"POS9CHECK";"POS10";"POS10NAME";"POS10CHECK";"ANFSTAND_SOLL";"KSONDERZUF";"SONDERZUF";"KSONDERENTN";"SONDERENTN";"ZUFNACHZ_SOLL";"RAP_SOLL";"RAP_IST";"AB_GEBUCHT"
123;49;"Rücklagen";30000;30100;841;5042,94;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";6594,45;4403,34;-3000,00;01.01.2024;31.12.2024;5000,04;7077,44;60110;34,46;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";5077,40;58001;0,00;30101;0,00;0,00;0,00;113,71;"J"
132;56;"Rücklagen";30000;30100;840;25298,89;52;796,44;0,00;-10,95;-199,11;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";50654,85;4701,11;0,00;01.01.2024;31.12.2024;4501,44;50455,18;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";25298,89;57005;20068,47;;0,00;0,00;0,00;0,00;"J"
133;57;"Rücklagen";30000;30100;840;2624,49;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";4457,75;1583,27;0,00;01.01.2024;31.12.2024;2499,90;8207,60;60110;83,33;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";4707,74;;0,00;30101;0,00;999,96;0,00;166,66;"J"
134;58;"Rücklagen";30000;30100;840;9845,99;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";14846,03;5000,04;0,00;01.01.2023;31.12.2023;5000,04;14846,03;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";9845,99;57002;0,00;30200;0,00;0,00;0,00;0,00;"J"
135;59;"Rücklagen";30000;30100;840;5478,76;52;0,00;0,00;0,00;0,00;112,11;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Durchlaufener Posten";"Frei definierbar";"J";"J";"J";"J";"J";"N";7424,24;1833,37;0,00;01.01.2023;31.12.2023;1833,37;7424,24;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";5478,76;;0,00;30200;0,00;0,00;0,00;0,00;"J"
136;60;"Rücklagen";30000;30100;840;33818,62;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";37896,58;3999,96;0,00;01.01.2024;31.12.2024;3999,96;37818,58;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";33818,62;;0,00;;0,00;0,00;0,00;78,00;"J"
137;61;"Rücklagen";30000;30100;840;27001,67;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";29501,77;3000,12;0,00;01.01.2023;31.12.2023;3000,12;30001,79;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";27001,67;;0,00;;0,00;0,00;0,00;-500,02;"J"
138;62;"Rücklagen";30000;30100;840;1085,00;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";2784,00;1401,00;0,00;01.01.2024;31.12.2024;2120,00;3970,00;60110;291,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";1484,00;;0,00;;0,00;366,00;0,00;7,00;"J"
139;63;"Rücklagen";30000;30100;840;12500,12;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";14914,06;2500,20;0,00;01.01.2024;31.12.2024;2500,20;15000,32;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";12500,12;;0,00;;0,00;0,00;0,00;-86,26;"J"
140;64;"Rücklagen";30000;30100;840;16159,79;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";20272,20;4112,41;0,00;01.01.2023;31.12.2023;5000,16;21159,95;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";16159,79;;0,00;;0,00;0,00;0,00;0,00;"J"
